#{"t_start": 1761659488.3956401, "env_id": "None"}
r,l,t
121.216073,168,38.217306
121.222962,168,38.289836
123.836758,168,38.359983
121.802791,168,38.74247
116.654193,168,38.813299
121.703698,168,38.889126
121.390354,168,38.962327
118.308855,168,39.034709
117.85833,168,39.118811
120.038028,168,39.188201
122.058374,168,39.848939
119.340546,168,39.916353
123.648561,168,39.988147
120.269019,168,40.060456
121.856186,168,40.138027
119.932237,168,40.209062
122.674173,168,40.282302
122.247535,168,40.359282
118.145818,168,40.427012
118.87909,168,40.499384
122.436553,168,40.571139
122.560799,168,40.644996
121.933291,168,41.294337
119.308003,168,41.368642
119.394502,168,41.437248
120.82145,168,41.509408
120.32453,168,41.577225
121.398974,168,41.652242
123.80376,168,41.723829
121.42816,168,41.796513
122.055175,168,41.866604
121.460159,168,41.93946
116.8439,168,42.009492
123.25126,168,42.083152
121.298613,168,42.158273
119.909059,168,42.84715
121.102436,168,42.924496
120.72464,168,42.998687
121.007573,168,43.068208
121.157187,168,43.140576
118.360866,168,43.212617
119.803111,168,43.282737
120.1943,168,43.355483
119.422123,168,43.43041
122.271089,168,43.500805
117.89821,168,43.567407
120.585038,168,43.637619
120.610762,168,44.332944
120.174242,168,44.403224
121.374844,168,44.476871
117.923386,168,44.545839
120.376679,168,44.61627
124.330654,168,44.691808
119.187551,168,44.762827
120.747091,168,44.835812
119.315811,168,44.903692
120.199337,168,44.977507
117.593698,168,45.048478
121.333364,168,45.121168
119.533914,168,45.811537
121.481709,168,45.880259
124.173472,168,45.955771
123.686714,168,46.026002
120.579542,168,46.423457
123.92614,168,46.498625
122.721524,168,46.570267
120.970552,168,46.641824
122.978114,168,46.713172
121.566791,168,46.787517
120.046235,168,46.861993
122.09552,168,46.931743
121.286463,168,47.647096
121.212302,168,47.716104
123.336034,168,47.787771
124.183067,168,47.858217
124.826764,168,47.929657
120.852492,168,48.009146
121.273553,168,48.080538
121.625656,168,48.148098
117.104019,168,48.219806
121.473965,168,48.295064
120.141687,168,48.360439
121.435379,168,48.433479
120.702308,168,49.129938
118.882104,168,49.199453
121.114022,168,49.272127
119.923765,168,49.346001
121.784365,168,49.419981
122.219432,168,49.495633
122.624327,168,49.562219
123.569539,168,49.632103
123.714607,168,49.704633
118.960151,168,49.776543
123.326333,168,49.844104
122.332462,168,49.911085
121.660487,168,49.977146
121.142825,168,50.723989
119.756345,168,50.794495
122.107568,168,50.865423
118.548548,168,50.93753
124.00278,168,51.007354
119.213337,168,51.082342
126.579991,168,51.155334
119.923991,168,51.226476
120.881054,168,51.297053
120.884977,168,51.374351
119.575595,168,51.44534
120.308417,168,51.517246
121.519027,168,52.222963
120.412282,168,52.295476
124.445079,168,52.371264
122.726821,168,52.442586
121.654528,168,52.512627
115.388431,168,52.588336
119.164141,168,52.660045
123.258393,168,52.730593
121.667698,168,52.802078
121.263151,168,52.875583
121.660645,168,52.946303
121.133619,168,53.015826
123.169021,168,53.695505
119.157318,168,53.765257
120.841702,168,54.161707
116.768302,168,54.232713
118.732912,168,54.308884
122.159508,168,54.381958
121.83893,168,54.452548
119.516363,168,54.527923
123.056992,168,54.604645
119.535205,168,54.675988
119.853107,168,54.744087
123.701074,168,54.814779
123.101452,168,55.52895
120.210413,168,55.597242
121.008336,168,55.67288
121.839506,168,55.744534
122.489459,168,55.818461
122.064948,168,55.889269
123.532961,168,55.959407
122.175628,168,56.030458
121.872829,168,56.101858
125.616824,168,56.175388
122.595394,168,56.247752
121.728714,168,56.318372
120.201016,168,57.003519
122.529355,168,57.071206
121.60514,168,57.148669
122.225139,168,57.219865
123.033096,168,57.289312
121.483147,168,57.360076
117.982352,168,57.434216
122.145924,168,57.501643
124.463741,168,57.575648
122.509288,168,57.64862
120.073453,168,57.718561
123.873641,168,57.790396
120.542763,168,57.861206
119.1601,168,58.541491
119.742074,168,58.608015
118.081189,168,58.684842
120.884641,168,58.75482
120.346857,168,58.825268
124.126013,168,58.896631
118.54637,168,58.968798
121.263073,168,59.037028
123.220086,168,59.10971
121.105455,168,59.181875
123.612416,168,59.251667
123.497618,168,59.321682
122.734906,168,60.018856
124.709854,168,60.090618
124.07079,168,60.161873
123.913034,168,60.235373
123.023135,168,60.305866
122.593825,168,60.377749
124.449011,168,60.450051
122.602122,168,60.523606
121.223671,168,60.593124
124.042296,168,60.66298
123.568592,168,60.738219
121.006675,168,60.809554
123.71521,168,61.505458
124.766873,168,61.908681
124.099953,168,61.985198
121.992745,168,62.058057
121.881651,168,62.132801
120.255972,168,62.202873
122.899853,168,62.28439
120.978336,168,62.356814
122.139371,168,62.428675
120.288721,168,62.502303
118.976117,168,62.573301
121.264917,168,62.643301
122.771146,168,63.352829
125.086713,168,63.419943
122.574338,168,63.500515
123.477864,168,63.57521
122.639495,168,63.64532
124.875694,168,63.712186
121.668476,168,63.790254
124.261503,168,63.862736
123.223598,168,63.936291
122.879009,168,64.010255
121.667683,168,64.080867
123.779646,168,64.153617
123.080174,168,64.832806
123.422495,168,64.902923
123.029764,168,64.976811
122.691956,168,65.056765
122.425654,168,65.126794
120.361351,168,65.200253
119.859652,168,65.273549
124.403423,168,65.34379
123.30953,168,65.418217
123.020776,168,65.491705
124.377004,168,65.570673
118.289281,168,65.640101
125.456216,168,65.709867
123.533676,168,66.422966
125.26381,168,66.494421
123.779871,168,66.568481
124.307059,168,66.640571
124.320381,168,66.712427
119.281873,168,66.788161
122.680006,168,66.856424
123.712449,168,66.931993
122.969124,168,67.003312
121.825542,168,67.078213
126.24553,168,67.148455
121.158734,168,67.223413
123.765694,168,67.943486
122.232051,168,68.014391
124.368793,168,68.08676
121.973928,168,68.163621
122.527895,168,68.234064
126.091314,168,68.303215
124.348091,168,68.373918
123.778559,168,68.446974
124.239062,168,68.522868
120.979593,168,68.598861
123.813628,168,68.677292
123.030246,168,69.061619
124.383624,168,69.746629
123.315285,168,69.816368
119.993192,168,69.897488
118.447825,168,69.971058
121.092586,168,70.044367
126.592114,168,70.118369
125.008407,168,70.192602
121.767363,168,70.263711
122.095257,168,70.336859
123.198503,168,70.409958
123.920021,168,70.482033
125.774806,168,70.554939
122.46086,168,71.286409
125.361588,168,71.354327
124.190298,168,71.423485
122.792826,168,71.495792
121.047491,168,71.567822
125.101048,168,71.642184
119.101522,168,71.712976
119.023214,168,71.789201
123.943424,168,71.860833
124.924567,168,71.935375
122.962336,168,72.009495
124.56244,168,72.081051
120.496348,168,72.788793
125.000721,168,72.854571
123.051079,168,72.929062
122.292654,168,73.00363
123.096142,168,73.071921
122.565015,168,73.14369
124.02483,168,73.214133
122.716709,168,73.288895
125.093417,168,73.360554
124.631122,168,73.436899
120.990518,168,73.509337
124.914437,168,73.578181
124.672846,168,74.278324
124.74362,168,74.349123
123.908186,168,74.422327
121.788719,168,74.492398
121.991598,168,74.564527
123.912184,168,74.636001
123.574104,168,74.70484
123.561834,168,74.779247
123.407672,168,74.849895
122.519923,168,74.924212
124.349649,168,74.992887
122.721046,168,75.068992
124.226268,168,75.142569
123.351673,168,75.822953
125.563033,168,75.891253
124.458554,168,75.969023
123.631564,168,76.037821
125.646041,168,76.103637
120.84405,168,76.181796
126.36599,168,76.25421
123.657041,168,76.325749
122.924605,168,76.404547
124.117816,168,76.483715
124.597684,168,76.881848
123.660772,168,76.958384
124.849537,168,77.66129
123.413913,168,77.73226
124.169796,168,77.802598
121.672653,168,77.874747
123.245721,168,77.944823
124.599222,168,78.018665
124.829464,168,78.08834
123.33947,168,78.160689
124.064111,168,78.236624
124.242193,168,78.310228
123.889079,168,78.38307
124.827376,168,78.454423
120.788298,168,79.150728
121.847452,168,79.220155
124.983735,168,79.29487
126.867694,168,79.366325
124.590659,168,79.443477
123.470893,168,79.520512
123.465882,168,79.59204
123.601137,168,79.667076
122.771452,168,79.738832
126.524223,168,79.813711
125.746689,168,79.883013
124.329904,168,79.956383
126.106453,168,80.663244
124.188949,168,80.733095
123.95998,168,80.808524
123.347236,168,80.880386
123.233606,168,80.95436
124.073374,168,81.031421
123.321197,168,81.10103
126.903087,168,81.173862
120.307398,168,81.245178
126.827661,168,81.3192
125.515467,168,81.390974
126.582169,168,81.463527
122.502451,168,82.155322
123.913918,168,82.222503
121.880722,168,82.295186
122.821376,168,82.370839
123.974582,168,82.438964
123.31011,168,82.525166
125.920646,168,82.605438
123.847264,168,82.676412
125.037492,168,82.76199
122.927416,168,82.83567
121.127714,168,82.907043
122.616126,168,82.978431
124.243766,168,83.050794
126.376931,168,83.758132
125.127961,168,83.828677
126.288267,168,83.906168
126.075439,168,83.977314
124.349788,168,84.050429
122.947303,168,84.124023
123.95161,168,84.195654
123.604994,168,84.264851
126.784187,168,84.664958
125.445121,168,84.738336
126.54842,168,84.810677
123.020322,168,84.885232
125.833713,168,85.62196
124.879223,168,85.691887
125.409976,168,85.761218
124.965274,168,85.833796
121.150382,168,85.909785
124.512982,168,85.980656
125.48465,168,86.054212
127.090008,168,86.125692
125.210385,168,86.202046
126.071383,168,86.275113
125.439235,168,86.350397
124.913196,168,86.425237
124.551288,168,87.116537
124.936995,168,87.189864
124.755293,168,87.260895
125.064408,168,87.330503
126.14513,168,87.397903
126.038109,168,87.475195
126.028408,168,87.544544
123.195719,168,87.613513
125.658714,168,87.691354
125.566143,168,87.764733
124.056271,168,87.83757
125.075117,168,87.909859
122.487815,168,88.574838
125.302974,168,88.642947
125.287793,168,88.722189
124.068035,168,88.7963
125.398507,168,88.869239
125.752393,168,88.937304
125.431542,168,89.01352
123.764334,168,89.084146
126.610812,168,89.15552
123.212793,168,89.235682
124.941073,168,89.311648
123.601651,168,89.384945
127.965136,168,90.0512
125.24148,168,90.119734
123.998156,168,90.189791
125.3714,168,90.259728
122.413088,168,90.33102
125.097977,168,90.40294
124.118915,168,90.47485
124.942691,168,90.553498
124.412199,168,90.626152
123.424889,168,90.698866
124.360239,168,90.773425
125.656724,168,90.845752
124.936294,168,90.916902
126.436425,168,91.592518
123.292345,168,91.662806
125.352202,168,91.73623
125.147585,168,91.810742
125.730327,168,91.882425
124.557238,168,91.957218
125.896342,168,92.036858
125.069314,168,92.43481
125.407777,168,92.507917
122.592345,168,92.585254
127.027433,168,92.654421
125.12991,168,92.727126
125.78918,168,93.413907
126.246277,168,93.484572
125.147294,168,93.562336
125.595065,168,93.631692
125.867896,168,93.705626
125.448715,168,93.781985
126.336364,168,93.856709
126.470494,168,93.92642
124.739541,168,93.99842
127.812547,168,94.077938
128.776569,168,94.147964
126.581908,168,94.218601
126.109403,168,94.893861
123.694013,168,94.967214
126.216698,168,95.037543
124.760645,168,95.115225
125.274889,168,95.187531
126.023612,168,95.257937
125.284211,168,95.33577
124.864,168,95.407802
124.836591,168,95.478771
124.964531,168,95.553063
125.44245,168,95.628317
126.114308,168,95.699287
124.732132,168,96.400994
122.85599,168,96.46833
125.771859,168,96.540802
125.423823,168,96.626
124.834948,168,96.699354
125.233248,168,96.769922
126.409192,168,96.848102
126.847634,168,96.921981
124.663973,168,96.993266
126.463234,168,97.064163
124.462477,168,97.137884
125.75764,168,97.212627
124.630808,168,97.897001
125.58829,168,97.96543
125.292064,168,98.039351
125.682371,168,98.115187
126.208526,168,98.18861
123.097833,168,98.259848
126.718611,168,98.330283
125.975774,168,98.398962
124.452736,168,98.467966
124.639143,168,98.540621
124.60501,168,98.614053
125.331355,168,98.683222
123.787741,168,98.754937
125.632129,168,99.464382
123.187036,168,99.53531
123.522428,168,99.603385
125.923915,168,99.67971
124.999016,168,99.751701
125.693251,168,100.144922
127.647875,168,100.216326
126.148045,168,100.289196
126.589252,168,100.363542
125.289178,168,100.437992
127.550624,168,100.508856
123.870352,168,100.584561
124.184476,168,101.253156
122.865147,168,101.324603
126.396191,168,101.400428
126.623785,168,101.470639
122.73572,168,101.542726
125.396098,168,101.613239
126.00287,168,101.688508
126.145617,168,101.755705
125.846193,168,101.829952
126.057478,168,101.908574
125.722608,168,101.981936
126.994496,168,102.050109
123.851912,168,102.757243
124.820821,168,102.829048
125.305178,168,102.90325
121.691888,168,102.975245
125.470141,168,103.046406
124.101893,168,103.122473
126.834306,168,103.203937
125.000788,168,103.27287
126.092059,168,103.349975
126.209287,168,103.426785
124.415969,168,103.496475
126.89144,168,103.566866
124.913614,168,104.260389
126.367809,168,104.332989
125.671926,168,104.400563
124.575322,168,104.481995
121.778211,168,104.557369
125.000548,168,104.627617
125.228867,168,104.695966
127.279025,168,104.771284
123.928966,168,104.843723
125.979476,168,104.913193
126.739135,168,104.987586
123.86889,168,105.057486
127.398613,168,105.699037
125.232124,168,105.769436
124.614833,168,105.837125
122.57992,168,105.908365
123.389653,168,105.98326
124.822042,168,106.055159
125.633029,168,106.123341
124.446275,168,106.202327
121.049821,168,106.275901
126.249116,168,106.349877
125.191747,168,106.418193
127.157933,168,106.495826
126.661515,168,107.163103
125.372574,168,107.236871
123.811713,168,107.308381
125.5757,168,107.380025
125.35858,168,107.447545
125.16778,168,107.845816
125.158908,168,107.916986
125.416608,168,107.990957
126.082747,168,108.063698
124.68577,168,108.137989
126.199187,168,108.211821
127.357217,168,108.290233
125.588538,168,108.361361
125.440241,168,109.020531
123.650316,168,109.090436
125.082593,168,109.161459
124.426234,168,109.237597
126.620854,168,109.320603
122.507328,168,109.389659
125.836878,168,109.460877
126.536125,168,109.537421
125.399513,168,109.612306
124.723569,168,109.684105
125.838186,168,109.754606
124.394675,168,109.834255
125.250677,168,110.528774
125.344239,168,110.603512
126.042639,168,110.67543
125.065343,168,110.747934
125.026047,168,110.825991
125.09384,168,110.898606
125.980551,168,110.969871
127.062822,168,111.040878
123.627405,168,111.112463
125.457581,168,111.181733
126.178469,168,111.253782
126.078885,168,111.331736
124.983821,168,112.005142
125.064738,168,112.076648
124.166968,168,112.149215
126.684218,168,112.222275
126.651945,168,112.294997
125.971371,168,112.373226
127.213728,168,112.440859
125.924967,168,112.517102
125.308041,168,112.594348
124.474043,168,112.666094
126.538273,168,112.736615
125.615472,168,112.807332
125.609915,168,113.509642
125.691043,168,113.578348
124.353267,168,113.652204
125.070968,168,113.724961
126.014154,168,113.800146
125.668975,168,113.874562
127.297104,168,113.942513
125.094519,168,114.012689
125.622739,168,114.083772
125.432524,168,114.157194
126.182238,168,114.230666
124.740316,168,114.305731
125.181759,168,114.974891
125.521344,168,115.043597
124.060197,168,115.117374
124.895952,168,115.502681
126.502821,168,115.573196
125.63982,168,115.648069
123.475417,168,115.719907
125.72798,168,115.789415
125.550634,168,115.863667
126.976445,168,115.938293
126.948113,168,116.01421
124.21701,168,116.085851
126.739996,168,116.159352
123.586724,168,116.85627
125.978658,168,116.929472
126.829215,168,116.998786
122.739458,168,117.070265
125.874792,168,117.142271
