episode,step,hour,rebalance_cost,num_rebalances,total_demand,total_served,service_rate,reward
1,162,163,53.22064518928528,4,32162.0,32162.0,1.0,1.0547793548107147
1,163,164,25.827927589416504,2,32420.0,32420.0,1.0,1.0061720724105836
1,164,165,6.560847043991089,1,32640.0,32640.0,1.0,0.8734391529560089
1,165,166,12.737229824066162,2,32827.0,32827.0,1.0,0.7352627701759339
1,166,167,0.0,0,33002.0,33002.0,1.0,0.7
1,167,168,38.89523458480835,3,33153.0,33153.0,1.0,0.5651047654151916
2,0,1,0.0,0,124.0,124.0,1.0,0.496
2,1,2,0.0,0,244.0,244.0,1.0,0.48
2,2,3,0.0,0,378.0,378.0,1.0,0.536
2,3,4,0.0,0,503.0,503.0,1.0,0.5
2,4,5,0.0,0,626.0,626.0,1.0,0.492
2,5,6,0.0,0,760.0,760.0,1.0,0.536
2,6,7,0.0,0,925.0,925.0,1.0,0.66
2,7,8,0.0,0,1140.0,1140.0,1.0,0.86
2,8,9,0.0,0,1424.0,1424.0,1.0,1.136
2,9,10,33.78437340259552,2,1647.0,1647.0,1.0,0.8582156265974045
2,10,11,15.92517614364624,1,1844.0,1844.0,1.0,0.7720748238563537
2,11,12,0.0,0,2027.0,2027.0,1.0,0.732
2,12,13,0.0,0,2260.0,2260.0,1.0,0.932
2,13,14,29.636609077453613,2,2462.0,2462.0,1.0,0.7783633909225464
2,14,15,10.189697742462158,1,2688.0,2688.0,1.0,0.8938103022575379
2,15,16,21.305649280548096,2,2936.0,2936.0,1.0,0.9706943507194519
2,16,17,17.378087520599365,2,3171.0,3171.0,1.0,0.9226219124794006
2,17,18,0.0,0,3470.0,3470.0,1.0,1.196
2,18,19,0.0,0,3770.0,3770.0,1.0,1.2
2,19,20,0.0,0,4065.0,4065.0,1.0,1.18
2,20,21,0.0,0,4249.0,4249.0,1.0,0.736
2,21,22,20.236873626708984,2,4434.0,4434.0,1.0,0.719763126373291
2,22,23,29.19466495513916,2,4568.0,4568.0,1.0,0.5068053350448608
2,23,24,0.0,0,4725.0,4725.0,1.0,0.628
2,24,25,25.72682499885559,3,4869.0,4869.0,1.0,0.5502731750011444
2,25,26,0.0,0,5014.0,5014.0,1.0,0.58
2,26,27,0.0,0,5155.0,5155.0,1.0,0.564
2,27,28,0.0,0,5284.0,5284.0,1.0,0.516
2,28,29,9.285044431686401,1,5418.0,5418.0,1.0,0.5267149555683136
2,29,30,0.0,0,5546.0,5546.0,1.0,0.512
2,30,31,3.6743392944335938,1,5697.0,5697.0,1.0,0.6003256607055664
2,31,32,14.27151370048523,2,5898.0,5898.0,1.0,0.7897284862995148
2,32,33,0.0,0,6150.0,6150.0,1.0,1.008
2,33,34,0.0,0,6343.0,6343.0,1.0,0.772
2,34,35,49.82139849662781,4,6542.0,6542.0,1.0,0.7461786015033722
